"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95","adjust.p"
"10438_19_CSF2RA_CSF2R","ieu-a-8","Coronary heart disease","CSF2RA","MR Egger",3,0.540133792643391,1.27485044418735,0.744871128828309,-1.95857307796382,3.0388406632506,1.71623646663838,0.141059558375444,20.881021061896,2.23461338648493
"10438_19_CSF2RA_CSF2R","ieu-a-8","Coronary heart disease","CSF2RA","Weighted median",3,1.00279479624475,0.189453202853521,1.20259947655637e-07,0.631466518651847,1.37412307383765,2.72588949829705,1.880366150254,3.95160993294972,3.60779842966911e-07
"10438_19_CSF2RA_CSF2R","ieu-a-8","Coronary heart disease","CSF2RA","Inverse variance weighted",3,0.930157299085045,0.270254079385843,0.000577882542586661,0.400459303488792,1.4598552946813,2.53490788494986,1.4925100553111,4.30533647817976,0.00173364762775998
"10438_19_CSF2RA_CSF2R","ieu-a-8","Coronary heart disease","CSF2RA","Simple mode",3,1.15433489048852,0.248489991530472,0.0433488841546186,0.667294507088791,1.64137527388824,3.17191304625473,1.94895729117995,5.16226415967778,0.130046652463856
"10438_19_CSF2RA_CSF2R","ieu-a-8","Coronary heart disease","CSF2RA","Weighted mode",3,1.06294886258707,0.201956303515088,0.0342545405909775,0.667114507697499,1.45878321747665,2.89489506267424,1.94860651162489,4.30072329836745,0.102763621772933
"11239_49_TMPRSS6_TMPS6","ieu-a-8","Coronary heart disease","TMPRSS6","MR Egger",4,-0.189790710869341,0.0628074938454097,0.0942822987903425,-0.312893398806344,-0.0666880229323378,0.827132225614067,0.731327868837465,0.935487006309244,0.37712919516137
"11239_49_TMPRSS6_TMPS6","ieu-a-8","Coronary heart disease","TMPRSS6","Weighted median",4,-0.149984076788831,0.047021165055649,0.00142413568056401,-0.242145560297903,-0.0578225932797588,0.860721681769038,0.784941912857158,0.943817372129723,0.00569654272225604
"11239_49_TMPRSS6_TMPS6","ieu-a-8","Coronary heart disease","TMPRSS6","Inverse variance weighted",4,-0.141842235924207,0.0419563622358993,0.000722991647374563,-0.22407670590657,-0.0596077659418446,0.867758146749481,0.799253824528792,0.942133998162642,0.00289196658949825
"11239_49_TMPRSS6_TMPS6","ieu-a-8","Coronary heart disease","TMPRSS6","Simple mode",4,-0.17593646086665,0.0616621387752282,0.0649364090093863,-0.296794252866098,-0.055078668867203,0.838671270089826,0.743196907266151,0.946410691967792,0.259745636037545
"11239_49_TMPRSS6_TMPS6","ieu-a-8","Coronary heart disease","TMPRSS6","Weighted mode",4,-0.162636987319707,0.0473727759357681,0.0414431418940768,-0.255487628153813,-0.0697863464856018,0.849899656774625,0.774538718975142,0.932593050404764,0.165772567576307
"12334_25_SHMT1_cSHMT","ieu-a-8","Coronary heart disease","SHMT1","MR Egger",3,-0.149317745030611,0.099001565229118,0.372726864012859,-0.343360812879682,0.0447253228184605,0.861295399082395,0.709382211140465,1.04574057938085,1.11818059203858
"12334_25_SHMT1_cSHMT","ieu-a-8","Coronary heart disease","SHMT1","Weighted median",3,-0.119904729514385,0.0473049695229606,0.0112538071656019,-0.212622469779388,-0.0271869892493826,0.887004938083044,0.808461298181379,0.973179250452123,0.0337614214968057
"12334_25_SHMT1_cSHMT","ieu-a-8","Coronary heart disease","SHMT1","Inverse variance weighted",3,-0.119803197266914,0.0459313483502154,0.00909904976417943,-0.209828640033337,-0.0297777545004922,0.887095002260057,0.810723159561329,0.970661234669271,0.0272971492925383
"12334_25_SHMT1_cSHMT","ieu-a-8","Coronary heart disease","SHMT1","Simple mode",3,-0.131068070386167,0.112019773911773,0.362542097551355,-0.350626827253242,0.0884906864809085,0.877158063870671,0.704246510430468,1.09252407731924,1.08762629265407
"12334_25_SHMT1_cSHMT","ieu-a-8","Coronary heart disease","SHMT1","Weighted mode",3,-0.120032154986316,0.0456538930301218,0.11931966774626,-0.209513785325354,-0.0305505246472769,0.88689191826116,0.810978459754112,0.969911426396515,0.35795900323878
"12630_8_ARFIP2_ARFP2","ieu-a-8","Coronary heart disease","ARFIP2","MR Egger",6,0.400650725938321,0.801657162851036,0.643472966410688,-1.17059731324971,1.97189876512635,1.49279578258827,0.310181610335016,7.18430485323248,3.86083779846413
"12630_8_ARFIP2_ARFP2","ieu-a-8","Coronary heart disease","ARFIP2","Weighted median",6,0.356497372177822,0.14383805107691,0.0131949578268006,0.0745747920670783,0.638419952288565,1.4283177771486,1.07742592342079,1.89348671511589,0.0791697469608036
"12630_8_ARFIP2_ARFP2","ieu-a-8","Coronary heart disease","ARFIP2","Inverse variance weighted",6,0.351491272206519,0.117159967542686,0.00269893602693244,0.121857735822854,0.581124808590184,1.42118534329936,1.12959338967471,1.788048512386,0.0161936161615946
"12630_8_ARFIP2_ARFP2","ieu-a-8","Coronary heart disease","ARFIP2","Simple mode",6,0.323035615937125,0.213533496467395,0.190738795517475,-0.0954900371389688,0.741561269013218,1.38131454684159,0.908927417126106,2.09921038948204,1.14443277310485
"12630_8_ARFIP2_ARFP2","ieu-a-8","Coronary heart disease","ARFIP2","Weighted mode",6,0.335104749201412,0.18234292796737,0.125506688817389,-0.0222873896146339,0.692496888017458,1.39808682603109,0.977959139360965,1.99869983770377,0.753040132904334
"12761_12_APBB2_APBB2","ieu-a-8","Coronary heart disease","APBB2","MR Egger",3,0.369250352250564,0.185960076673855,0.297005759418042,0.00476860196980761,0.733732102531321,1.44664973035901,1.0047799898464,2.08283949073041,0.891017278254126
