"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95","adjust.p"
"10008_43_GUCA1A_GUC1A","ieu-a-8","Coronary heart disease","GUCA1A","MR Egger",5,0.806175908873656,0.952139373741663,0.459358347811925,-1.06001726366,2.67236908140732,2.23932819709605,0.346449829286369,14.4742192098599,2.29679173905963
"10008_43_GUCA1A_GUC1A","ieu-a-8","Coronary heart disease","GUCA1A","Weighted median",5,0.175607360611729,0.145413466412816,0.227185125688454,-0.109403033557389,0.460617754780848,1.19196995240526,0.896369077868941,1.5850528565921,1.13592562844227
"10008_43_GUCA1A_GUC1A","ieu-a-8","Coronary heart disease","GUCA1A","Inverse variance weighted",5,0.102165706102231,0.177986844832341,0.565963021581388,-0.246688509769157,0.451019921973619,1.1075669871311,0.781384049125803,1.56991255753822,2.82981510790694
"10008_43_GUCA1A_GUC1A","ieu-a-8","Coronary heart disease","GUCA1A","Simple mode",5,0.230108107830286,0.176590579994275,0.262502342942098,-0.116009428958493,0.576225644619064,1.25873608180083,0.890466827083137,1.77930999273417,1.31251171471049
"10008_43_GUCA1A_GUC1A","ieu-a-8","Coronary heart disease","GUCA1A","Weighted mode",5,0.188177054105693,0.155479418471102,0.292789605512046,-0.116562606097667,0.492916714309054,1.20704720909551,0.88997437740971,1.63708417002495,1.46394802756023
"10023_32_VDR_VDR","ieu-a-8","Coronary heart disease","VDR","MR Egger",4,-0.118894954273982,0.186228098250872,0.588541671429951,-0.483902026845691,0.246112118297727,0.887901066075421,0.616373587018734,1.2790429696234,2.3541666857198
"10023_32_VDR_VDR","ieu-a-8","Coronary heart disease","VDR","Weighted median",4,-0.0738076367212133,0.0807721620007313,0.360834731499144,-0.232121074242647,0.0845058008002201,0.928850353356445,0.792850123766998,1.08817915652359,1.44333892599658
"10023_32_VDR_VDR","ieu-a-8","Coronary heart disease","VDR","Inverse variance weighted",4,-0.0653086429961433,0.0773138901384515,0.398266802105956,-0.216843867667508,0.0862265816752216,0.936778288696084,0.805055654710124,1.0900532864257,1.59306720842382
"10023_32_VDR_VDR","ieu-a-8","Coronary heart disease","VDR","Simple mode",4,-0.0917757624999279,0.124242428451128,0.513642191032121,-0.335290922264138,0.151739397264282,0.912309700656785,0.715130008845511,1.16385689261751,2.05456876412848
"10023_32_VDR_VDR","ieu-a-8","Coronary heart disease","VDR","Weighted mode",4,-0.0905726969475774,0.092011313194132,0.397517998239697,-0.270914870808076,0.0897694769129213,0.913407929518915,0.762681420094564,1.09392208034199,1.59007199295879
"10046_55_BIRC2_cIAP_1","ieu-a-8","Coronary heart disease","BIRC2","MR Egger",3,-0.116755458895729,0.0819000348887283,0.389426341926156,-0.277279527277636,0.0437686094861789,0.889802759909813,0.757842629813355,1.04474058385725,1.16827902577847
"10046_55_BIRC2_cIAP_1","ieu-a-8","Coronary heart disease","BIRC2","Weighted median",3,-0.126283809844791,0.0706214579149632,0.0737471289952702,-0.264701867358119,0.0121342476685374,0.881364671313395,0.767434713211789,1.01220816633166,0.221241386985811
"10046_55_BIRC2_cIAP_1","ieu-a-8","Coronary heart disease","BIRC2","Inverse variance weighted",3,-0.116484547634304,0.0694658738173941,0.0935698546638731,-0.252637660316397,0.0196685650477882,0.890043850153476,0.776749277927775,1.0198632656723,0.280709563991619
"10046_55_BIRC2_cIAP_1","ieu-a-8","Coronary heart disease","BIRC2","Simple mode",3,-0.137195683550985,0.120644015298373,0.373350210722186,-0.373657953535797,0.0992665864338264,0.871799612595582,0.688212272148912,1.10436066789195,1.12005063216656
"10046_55_BIRC2_cIAP_1","ieu-a-8","Coronary heart disease","BIRC2","Weighted mode",3,-0.126515663244051,0.0753556994946721,0.235176814321737,-0.274212834253608,0.0211815077655063,0.881160347605852,0.760170267770849,1.02140742819334,0.705530442965211
"10048_7_CBFB_PEBB","ieu-a-8","Coronary heart disease","CBFB","MR Egger",3,0.5379856295435,1.80662825965688,0.815747688330282,-3.00300575938398,4.07897701847098,1.71255366783253,0.0496376450976129,59.0849960637574,2.44724306499085
"10048_7_CBFB_PEBB","ieu-a-8","Coronary heart disease","CBFB","Weighted median",3,0.10927098399548,0.163587221889691,0.504154196495396,-0.211359970908315,0.429901938899275,1.11546458243893,0.809482624233475,1.5371067857743,1.51246258948619
"10048_7_CBFB_PEBB","ieu-a-8","Coronary heart disease","CBFB","Inverse variance weighted",3,0.11837732402622,0.145450730170254,0.415722035142792,-0.166706107107479,0.403460755159918,1.12566877311843,0.846448339936608,1.49699648163861,1.24716610542838
"10048_7_CBFB_PEBB","ieu-a-8","Coronary heart disease","CBFB","Simple mode",3,0.0648732586881545,0.192262576107043,0.767922180984275,-0.311961390481649,0.441707907857958,1.06702377982021,0.732009790228147,1.5553613652448,2.30376654295282
"10048_7_CBFB_PEBB","ieu-a-8","Coronary heart disease","CBFB","Weighted mode",3,0.0763468398168784,0.195430374556724,0.733733952199726,-0.306696694314301,0.459390373948058,1.07933686624487,0.735873761758463,1.58310858652095,2.20120185659918
"10081_17_SATB2_SATB2","ieu-a-8","Coronary heart disease","SATB2","MR Egger",6,-0.11385578909969,0.146516257490937,0.480502156150692,-0.401027653781927,0.173316075582547,0.892386638484029,0.669631542937228,1.18924193602313,2.88301293690415
"10081_17_SATB2_SATB2","ieu-a-8","Coronary heart disease","SATB2","Weighted median",6,-0.0651235077372058,0.0621368131701948,0.294608003245345,-0.186911661550788,0.056664646076376,0.936951735442187,0.829517011395238,1.05830084553847,1.76764801947207
"10081_17_SATB2_SATB2","ieu-a-8","Coronary heart disease","SATB2","Inverse variance weighted",6,-0.0374837983230496,0.0566759370732943,0.508374677547749,-0.148568634986706,0.0736010383406072,0.963210023212035,0.861940845841757,1.07637728655275,3.05024806528649
"10081_17_SATB2_SATB2","ieu-a-8","Coronary heart disease","SATB2","Simple mode",6,-0.0543596849856453,0.125315967364416,0.6825258083502,-0.299978981019902,0.191259611048611,0.947091390677028,0.740833792088802,1.2107737415237,4.0951548501012
"10081_17_SATB2_SATB2","ieu-a-8","Coronary heart disease","SATB2","Weighted mode",6,-0.0662307966604552,0.0629279899380501,0.340758850642117,-0.189569656939033,0.057108063618123,0.935914833344961,0.827315086653754,1.0587702187543,2.0445531038527
"10082_251_NEFL_NFL","ieu-a-8","Coronary heart disease","NEFL","MR Egger",6,-0.099247082606775,0.0642005778017208,0.19702761649719,-0.225080215098148,0.0265860498845978,0.905518942399618,0.798452168271459,1.02694261175298,1.18216569898314
"10082_251_NEFL_NFL","ieu-a-8","Coronary heart disease","NEFL","Weighted median",6,-0.0283497545266973,0.0540587218103382,0.599982851847669,-0.13430484927496,0.0776053402215655,0.97204832903659,0.874323487091297,1.08069606722593,3.59989711108601
"10082_251_NEFL_NFL","ieu-a-8","Coronary heart disease","NEFL","Inverse variance weighted",6,-0.02725898657833,0.0454857649772904,0.548982117224903,-0.116411085933819,0.0618931127771593,0.973109186667737,0.890109236689888,1.0638486268254,3.29389270334942
"10082_251_NEFL_NFL","ieu-a-8","Coronary heart disease","NEFL","Simple mode",6,-0.00799114766812015,0.0788466202727582,0.92321100225999,-0.162530523402726,0.146548228066486,0.992040696671676,0.849990145237919,1.15783076941128,5.53926601355994
"10082_251_NEFL_NFL","ieu-a-8","Coronary heart disease","NEFL","Weighted mode",6,-0.0339616626547816,0.0561720300893043,0.571829191969343,-0.144058841629818,0.0761355163202549,0.966608561133278,0.865836799311838,1.07910880110287,3.43097515181606
"10346_5_STAT3_STAT3","ieu-a-8","Coronary heart disease","STAT3","MR Egger",3,-0.135855156797301,0.232750763121583,0.663646215308575,-0.592046652515605,0.320336338921002,0.872969066967427,0.55319392959043,1.37759102390404,1.99093864592573
"10346_5_STAT3_STAT3","ieu-a-8","Coronary heart disease","STAT3","Weighted median",3,-0.0923880176242823,0.0919645231039088,0.315087099753698,-0.272638482907944,0.0878624476593789,0.911751305325205,0.761367985421659,1.09183792683617,0.945261299261094
"10346_5_STAT3_STAT3","ieu-a-8","Coronary heart disease","STAT3","Inverse variance weighted",3,-0.0908259071712601,0.0875237428041671,0.299396340406871,-0.262372443067428,0.0807206287249074,0.913176674572062,0.769224478025775,1.08406799679943,0.898189021220613
"10346_5_STAT3_STAT3","ieu-a-8","Coronary heart disease","STAT3","Simple mode",3,-0.120562127418279,0.154376740415587,0.516588288272218,-0.423140538632829,0.182016283796271,0.886422014523362,0.654986575725274,1.19963372831205,1.54976486481665
"10346_5_STAT3_STAT3","ieu-a-8","Coronary heart disease","STAT3","Weighted mode",3,-0.0997196007878828,0.0879352460787075,0.374417030045055,-0.272072683102149,0.0726334815263838,0.905091169309237,0.761798889171082,1.07533633404602,1.12325109013516
"10366_11_PDGFRA_PDGFRA","ieu-a-8","Coronary heart disease","PDGFRA","MR Egger",3,-0.205949959119762,0.213301423848047,0.511161819430267,-0.624020749861935,0.212120831622411,0.813873802225397,0.535785840069904,1.23629725985741,1.5334854582908
