ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0046777	protein autophosphorylation	5/28	227/18614	2.01762696345722e-05	0.0114962827216111	0.00787704125885488	EPHA4/INSR/PDGFRB/KDR/MAPKAPK5	5
BP	GO:1990748	cellular detoxification	4/28	115/18614	2.5242963298983e-05	0.0114962827216111	0.00787704125885488	GSTM1/CLIC2/LPO/HBZ	4
BP	GO:0009636	response to toxic substance	5/28	242/18614	2.74316975644506e-05	0.0114962827216111	0.00787704125885488	GSTM1/CLIC2/PDGFRB/LPO/HBZ	5
BP	GO:0097237	cellular response to toxic substance	4/28	124/18614	3.39373659678555e-05	0.0114962827216111	0.00787704125885488	GSTM1/CLIC2/LPO/HBZ	4
BP	GO:0098754	detoxification	4/28	144/18614	6.08758981130013e-05	0.0164973683886233	0.0113036930811931	GSTM1/CLIC2/LPO/HBZ	4
BP	GO:0072203	cell proliferation involved in metanephros development	2/28	10/18614	9.74634805213136e-05	0.0211545355829293	0.0144946982980335	PDGFRB/GPC3	2
BP	GO:0072178	nephric duct morphogenesis	2/28	12/18614	0.000142680483114644	0.0211545355829293	0.0144946982980335	EPHA4/GPC3	2
BP	GO:1905245	regulation of aspartic-type peptidase activity	2/28	12/18614	0.000142680483114644	0.0211545355829293	0.0144946982980335	EPHA4/GRN	2
BP	GO:0030324	lung development	4/28	186/18614	0.000163818582739841	0.0211545355829293	0.0144946982980335	PDGFRB/KDR/GPC3/CRISPLD2	4
BP	GO:0030323	respiratory tube development	4/28	190/18614	0.000177758821678552	0.0211545355829293	0.0144946982980335	PDGFRB/KDR/GPC3/CRISPLD2	4
BP	GO:0035924	cellular response to vascular endothelial growth factor stimulus	3/28	74/18614	0.000183961958139658	0.0211545355829293	0.0144946982980335	VCAM1/PDGFRB/KDR	3
BP	GO:0018108	peptidyl-tyrosine phosphorylation	5/28	370/18614	0.000203662398599753	0.0211545355829293	0.0144946982980335	EPHA4/INSR/PDGFRB/KDR/IL23R	5
BP	GO:0018212	peptidyl-tyrosine modification	5/28	372/18614	0.000208824094626194	0.0211545355829293	0.0144946982980335	EPHA4/INSR/PDGFRB/KDR/IL23R	5
BP	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	3/28	83/18614	0.000258395852390613	0.0211545355829293	0.0144946982980335	INSR/PDGFRB/KDR	3
BP	GO:0015671	oxygen transport	2/28	16/18614	0.00025845487005392	0.0211545355829293	0.0144946982980335	MB/HBZ	2
